IDENT,AGE10,CA0ACATAEU_15,CA0AREGIONF_15,CA0AREG_15,CA11,CA12,CA20_15,CA23A,CA23C,CA23D,CA23E,CA23F,CA23G,CA24,CA25,CA26,CA7,CA8,CA8B3,OS1,PER1,Q1,Q31,STRADEF,CA23C_DETAIL_1,CA23C_DETAIL_10,CA23C_DETAIL_11,CA23C_DETAIL_12,CA23C_DETAIL_13,CA23C_DETAIL_14,CA23C_DETAIL_15,CA23C_DETAIL_16,CA23C_DETAIL_17,CA23C_DETAIL_18,CA23C_DETAIL_2,CA23C_DETAIL_3,CA23C_DETAIL_4,CA23C_DETAIL_6,CA23C_DETAIL_7,CA23C_DETAIL_8,CA23C_DETAIL_9,CA23G_1,CA23G_2,CA23G_3,CA23G_4,CA23G_5,CA26_8,CONTRAT_15,LIEUNAIS,PHD,PONDEF,REGETAB,SALPRS_15,SITDE_15,TAPE,TAPI,ZUS
A0040771,24,111,BOURGOGNE,26,2,2,2,2,,,,,,2,,,,,,2,1,2,2,49,,,,,,,,,,,,,,,,,,,,,,,,04 Emploi à durée déterminée,00,16,84.958526375,83,1238,1,0,27,2
A0040821,23,300,AQUITAINE,72,2,1,2,2,,,,,,2,,,,,,1,1,2,2,49,,,,,,,,,,,,,,,,,,,,,,,,"02 CDI, Fonctionnaire",00,16,48.305724853,72,2500.3125,1,11,27,2
A0040853,23,221,MIDI-PYRÉNÉES,73,1,2,1,2,,,,,,2,,,,,,1,1,2,2,49,,,,,,,,,,,,,,,,,,,,,,,,04 Emploi à durée déterminée,00,16,97.191356644,72,909,1,0,,2
A0040903,23,111,ÎLE-DE-FRANCE,11,4,4,2,2,,,,,,2,,,,,,2,1,1,2,49,,,,,,,,,,,,,,,,,,,,,,,,"02 CDI, Fonctionnaire",00,16,33.088217583,72,3575,1,0,14,2
A0040908,23,300,CENTRE,24,1,2,2,2,,,,,,2,,,,,,1,1,1,2,49,,,,,,,,,,,,,,,,,,,,,,,,"02 CDI, Fonctionnaire",00,16,37.427320175,72,3215.3125,1,0,0,2
A0040931,23,111,MIDI-PYRÉNÉES,73,2,3,2,1,8,2,2,,,2,,,,,,1,1,1,2,49,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,"02 CDI, Fonctionnaire",00,16,40.289769697,72,2325,1,0,12,2
A0040948,24,112,RHÔNE-ALPES,82,1,1,2,2,,,,,,2,,,,,,2,1,1,2,49,,,,,,,,,,,,,,,,,,,,,,,,"02 CDI, Fonctionnaire",00,16,18.130920318,82,2167,1,0,0,2
A0040963,23,111,RHÔNE-ALPES,82,1,3,1,2,,,,,,2,,,,,,1,1,1,2,49,,,,,,,,,,,,,,,,,,,,,,,,"02 CDI, Fonctionnaire",00,16,12.816855592,82,2850,1,0,0,2
A0040985,23,111,RHÔNE-ALPES,82,4,4,2,2,,,,,,2,,,,,,2,1,1,2,49,,,,,,,,,,,,,,,,,,,,,,,,"02 CDI, Fonctionnaire",00,16,20.741949943,82,1625,1,0,0,2
A0041036,22,111,HAUTE-NORMANDIE,23,6,4,2,2,,,,,,2,,,,,,2,1,1,2,49,,,,,,,,,,,,,,,,,,,,,,,,,00,16,21.794406784,82,,4,7,25,2
A0041111,23,111,ÎLE-DE-FRANCE,11,2,2,2,2,,,,,,2,,,,,,1,1,1,2,49,,,,,,,,,,,,,,,,,,,,,,,,"02 CDI, Fonctionnaire",00,16,52.692408237,11,2100,1,5,5,2
A0041149,23,111,ÎLE-DE-FRANCE,11,6,5,2,2,,,,,,1,1,2,,,,2,1,1,2,49,,,,,,,,,,,,,,,,,,,,,,,0,"02 CDI, Fonctionnaire",00,16,45.072079784,11,3116.625,1,0,0,2
A0041183,25,111,ÎLE-DE-FRANCE,11,6,6,2,2,,,,,,2,,,1,,,2,2,1,2,49,,,,,,,,,,,,,,,,,,,,,,,,"02 CDI, Fonctionnaire",00,16,51.834992766,11,2568,1,0,8,2
A0041207,24,111,ÎLE-DE-FRANCE,11,6,6,2,2,,,,,,1,2,9,3,3,1,2,2,1,2,49,,,,,,,,,,,,,,,,,,,,,,,0,"02 CDI, Fonctionnaire",00,16,52.599775962,11,3258.3125,1,4,4,2
